,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
0,A,67.51,2017-12-21,100936631.36000001,A,65.22,2018-12-21,305431782.0
1,A,66.33,2018-12-20,235326502.62,A,84.94,2019-12-20,194325137.42
2,A,83.95,2019-12-19,142379703.70000002,A,119.23,2020-12-18,466401648.63
3,A,119.23,2020-12-18,466401648.63,A,150.76,2021-12-20,305621727.32
4,A,150.35,2021-12-17,395223541.5,A,,,
5,A18,,,,A18,,,
6,A18,,,,A18,,,
7,A18,,,,A18,,,
8,A18,,,,A18,,,
9,A18,,,,A18,,,
10,A21,,,,A21,,,
11,A21,,,,A21,,,
12,A21,,,,A21,,,
13,AA,47.42,2018-02-26,168519062.1,AA,30.7,2019-02-26,114315502.39999999
14,AA,30.7,2019-02-26,114315502.39999999,AA,14.64,2020-02-26,70216470.48
15,AA,16.01,2020-02-21,88506770.18,AA,23.46,2021-02-22,219047756.04000002
16,AA,27.48,2021-02-25,231349201.08,AA,73.11,2022-02-25,538228874.55
17,AA,75.29,2022-02-24,874185489.19,AA,,,
18,AAC_delist,,,,AAC_delist,,,
19,AAC_delist,,,,AAC_delist,,,
20,AAL,51.96,2018-02-21,278943674.76,AAL,34.98,2019-02-21,206408025.11999997
21,AAL,35.75,2019-02-25,389886854.5,AAL,25.62,2020-02-25,571246039.98
22,AAL,28.84,2020-02-19,242285561.0,AAL,17.83,2021-02-18,469431342.41999996
23,AAL,17.69,2021-02-17,626021892.7800001,AAL,18.54,2022-02-17,555278432.22
24,AAL,17.44,2022-02-22,562281801.76,AAL,,,
25,AAMC,68.55,2018-03-01,97683.75,AAMC,37.17,2019-03-01,2420138.7
26,AAMC,27.0,2019-04-30,17172.0,AAMC,14.15,2020-04-29,851943.2000000001
27,AAMC,14.15,2020-04-29,851943.2000000001,AAMC,17.55,2021-04-29,279747.0
28,AAMC,24.67,2021-03-03,1978040.6,AAMC,17.9,2022-03-03,0.0
29,AAMC,13.98,2022-03-31,40779.66,AAMC,,,
30,AAN,,,,AAN,,,
31,AAN,,,,AAN,,,
32,AAN,,,,AAN,30.25,2021-04-27,28285020.5
33,AAN,20.89,2021-01-26,6375251.98,AAN,22.59,2022-01-26,4105822.86
34,AAN,19.42,2022-02-24,15231397.3,AAN,,,
35,AAOI,27.57,2018-02-28,31374852.990000002,AAOI,14.89,2019-02-28,75849451.54
36,AAOI,16.82,2019-02-26,16960732.94,AAOI,10.27,2020-02-26,7326217.47
